[2023-10-11 21:29:58 (EET)] 1 index 0.23041605949402s 1072.08KB 1141.35KB 
[2023-10-11 21:29:58 (EET)] 1 index 0.15350413322449s 1077.96KB 1147.23KB 
[2023-10-11 21:30:01 (EET)] 1 user-account/bookmarks 0.11413288116455s 986.75KB 1069.21KB 
[2023-10-11 21:30:03 (EET)] 1 user-account/bookmarks 0.10598921775818s 986.88KB 1069.34KB 
[2023-10-11 21:36:39 (EET)] 1 index 0.058869123458862s 970.69KB 1050.12KB 
[2023-10-11 21:36:40 (EET)] 1 index 0.054358959197998s 976.54KB 1055.97KB 
[2023-10-11 21:36:47 (EET)] 1 index 0.074073076248169s 976.02KB 1049.86KB 
[2023-10-11 21:36:49 (EET)] 1 index 0.045707941055298s 976.15KB 1049.98KB 
[2023-10-11 21:36:50 (EET)] 1 index 0.059935092926025s 976.18KB 1050.02KB 
[2023-10-11 21:36:50 (EET)] 1 index 0.037163972854614s 976.15KB 1049.98KB 
[2023-10-11 21:36:50 (EET)] 1 index 0.063623189926147s 976.15KB 1049.98KB 
[2023-10-11 21:36:51 (EET)] 1 index 0.039575099945068s 976.18KB 1050.02KB 
[2023-10-11 21:36:54 (EET)] 1 index 0.072903871536255s 976.04KB 1049.87KB 
[2023-10-11 21:36:54 (EET)] 1 index 0.066696882247925s 976.04KB 1049.87KB 
[2023-10-11 21:36:54 (EET)] 1 index 0.060997009277344s 976.07KB 1049.9KB 
[2023-10-11 21:36:55 (EET)] 1 index 0.084701061248779s 976.04KB 1049.87KB 
[2023-10-11 21:36:55 (EET)] 1 index 0.071415901184082s 976.07KB 1049.9KB 
[2023-10-11 21:36:55 (EET)] 1 index 0.071138143539429s 976.04KB 1049.87KB 
[2023-10-11 21:36:55 (EET)] 1 index 0.071744203567505s 977.31KB 1051.14KB 
[2023-10-11 21:36:55 (EET)] 1 index 0.065548896789551s 976.07KB 1049.9KB 
[2023-10-11 21:36:55 (EET)] 1 index 0.07952094078064s 977.31KB 1051.14KB 
[2023-10-11 21:36:55 (EET)] 1 index 0.068332195281982s 976.04KB 1049.87KB 
[2023-10-11 21:37:06 (EET)] 1 index 0.18905782699585s 1056.87KB 1093.15KB 
[2023-10-11 21:37:07 (EET)] 1 index 0.11927509307861s 1056.87KB 1093.15KB 
[2023-10-11 21:37:07 (EET)] 1 index 0.11760306358337s 1056.9KB 1093.18KB 
[2023-10-11 21:37:07 (EET)] 1 index 0.11952114105225s 1056.87KB 1093.15KB 
[2023-10-11 21:37:08 (EET)] 1 index 0.10621190071106s 1058.18KB 1094.46KB 
[2023-10-11 21:37:08 (EET)] 1 index 0.10814094543457s 1056.87KB 1093.15KB 
[2023-10-11 21:37:08 (EET)] 1 index 0.12805080413818s 1056.9KB 1093.18KB 
[2023-10-11 21:37:08 (EET)] 1 index 0.13595700263977s 1056.9KB 1093.18KB 
[2023-10-11 21:37:09 (EET)] 1 index 0.17814087867737s 1056.87KB 1093.15KB 
[2023-10-11 21:37:09 (EET)] 1 index 0.092873811721802s 1056.9KB 1093.18KB 
[2023-10-11 21:43:04 (EET)] 1 index 0.10953402519226s 1057.14KB 1093.42KB 
[2023-10-11 21:43:05 (EET)] 1 index 0.074645042419434s 1057.11KB 1093.39KB 
[2023-10-11 21:43:05 (EET)] 1 index 0.068774938583374s 1057.11KB 1093.39KB 
[2023-10-11 21:43:06 (EET)] 1 index 0.057030200958252s 1057.13KB 1093.41KB 
[2023-10-11 21:43:06 (EET)] 1 index 0.063735008239746s 1057.13KB 1093.41KB 
[2023-10-11 21:43:06 (EET)] 1 index 0.057317972183228s 1057.13KB 1093.41KB 
[2023-10-11 21:43:06 (EET)] 1 index 0.070884943008423s 1057.13KB 1093.41KB 
[2023-10-11 21:43:06 (EET)] 1 index 0.053795099258423s 1057.13KB 1093.41KB 
[2023-10-11 21:43:07 (EET)] 1 index 0.083230018615723s 1057.13KB 1093.41KB 
[2023-10-11 21:43:07 (EET)] 1 index 0.054286956787109s 1057.13KB 1093.41KB 
[2023-10-11 21:43:07 (EET)] 1 index 0.059638023376465s 1057.13KB 1093.41KB 
[2023-10-11 21:43:07 (EET)] 1 index 0.054512977600098s 1057.16KB 1093.44KB 
[2023-10-11 21:43:07 (EET)] 1 index 0.075616121292114s 1057.13KB 1093.41KB 
[2023-10-11 21:43:11 (EET)] 1 index 0.067358016967773s 1057.28KB 1093.56KB 
[2023-10-11 21:43:12 (EET)] 1 index 0.058736801147461s 1057.16KB 1093.44KB 
[2023-10-11 21:43:12 (EET)] 1 index 0.058302164077759s 1057.13KB 1093.41KB 
[2023-10-11 21:43:13 (EET)] 1 index 0.074820041656494s 1056.96KB 1093.24KB 
[2023-10-11 21:43:14 (EET)] 1 index 0.093735933303833s 1056.97KB 1093.25KB 
[2023-10-11 21:43:14 (EET)] 1 index 0.10675621032715s 1056.97KB 1093.25KB 
[2023-10-11 21:43:14 (EET)] 1 index 0.11163210868835s 1056.96KB 1093.24KB 
[2023-10-11 21:43:15 (EET)] 1 index 0.085043907165527s 1057KB 1093.28KB 
[2023-10-11 21:43:15 (EET)] 1 index 0.10509085655212s 1057.02KB 1093.3KB 
[2023-10-11 21:43:15 (EET)] 1 index 0.10844993591309s 1058.29KB 1094.57KB 
[2023-10-11 21:43:15 (EET)] 1 index 0.10623002052307s 1057KB 1093.28KB 
[2023-10-11 21:43:15 (EET)] 1 index 0.10333704948425s 1056.96KB 1093.24KB 
[2023-10-11 21:43:16 (EET)] 1 index 0.10062313079834s 1057KB 1093.28KB 
[2023-10-11 21:43:16 (EET)] 1 index 0.12014412879944s 1057.03KB 1093.31KB 
[2023-10-11 21:43:16 (EET)] 1 index 0.081593036651611s 1056.99KB 1093.27KB 
[2023-10-11 21:43:16 (EET)] 1 index 0.072064876556396s 1056.99KB 1093.27KB 
[2023-10-11 21:43:17 (EET)] 1 index 0.158371925354s 1056.97KB 1093.25KB 
[2023-10-11 21:43:17 (EET)] 1 index 0.079501867294312s 1057.02KB 1093.3KB 
[2023-10-11 21:43:17 (EET)] 1 index 0.097836971282959s 1056.98KB 1093.26KB 
[2023-10-11 21:43:18 (EET)] 1 index 0.077367067337036s 1057KB 1093.28KB 
[2023-10-11 21:43:18 (EET)] 1 index 0.1273410320282s 1056.99KB 1093.27KB 
[2023-10-11 21:43:18 (EET)] 1 index 0.10471200942993s 1057KB 1093.28KB 
[2023-10-11 21:43:18 (EET)] 1 index 0.097753047943115s 1057KB 1093.28KB 
[2023-10-11 21:43:19 (EET)] 1 index 0.090359926223755s 1057KB 1093.28KB 
[2023-10-11 21:43:19 (EET)] 1 index 0.11393404006958s 1057.03KB 1093.31KB 
[2023-10-11 21:46:59 (EET)] 1 user-account/settings 0.098912954330444s 1058.77KB 1095.03KB 
[2023-10-11 21:47:24 (EET)] 1 index 0.053839921951294s 971.03KB 1050.46KB 
[2023-10-11 21:47:31 (EET)] 1 index 0.052315950393677s 976.79KB 1056.22KB 
[2023-10-11 21:47:31 (EET)] 1 index 0.038947105407715s 976.79KB 1056.22KB 
[2023-10-11 21:47:31 (EET)] 1 index 0.059290885925293s 976.79KB 1056.22KB 
[2023-10-11 21:47:32 (EET)] 1 index 0.066022157669067s 976.76KB 1056.19KB 
[2023-10-11 21:47:32 (EET)] 1 index 0.033376932144165s 976.79KB 1056.22KB 
[2023-10-11 21:47:32 (EET)] 1 index 0.055675029754639s 976.79KB 1056.22KB 
[2023-10-11 21:47:32 (EET)] 1 index 0.030428886413574s 976.76KB 1056.19KB 
[2023-10-11 21:47:32 (EET)] 1 index 0.035788059234619s 976.79KB 1056.22KB 
[2023-10-11 21:47:32 (EET)] 1 index 0.035768985748291s 976.76KB 1056.19KB 
[2023-10-11 21:47:41 (EET)] 1 index 0.084442853927612s 976.15KB 1049.98KB 
[2023-10-11 21:47:42 (EET)] 1 index 0.057041883468628s 976.18KB 1050.02KB 
[2023-10-11 21:47:42 (EET)] 1 index 0.048979997634888s 976.18KB 1050.02KB 
[2023-10-11 21:47:42 (EET)] 1 index 0.064098119735718s 976.18KB 1050.02KB 
[2023-10-11 21:47:42 (EET)] 1 index 0.06187105178833s 976.18KB 1050.02KB 
[2023-10-11 21:47:42 (EET)] 1 index 0.072425842285156s 976.18KB 1050.02KB 
[2023-10-11 21:47:43 (EET)] 1 index 0.067559003829956s 976.18KB 1050.02KB 
[2023-10-11 21:47:43 (EET)] 1 index 0.063065767288208s 976.18KB 1050.02KB 
[2023-10-11 21:47:43 (EET)] 1 index 0.055637121200562s 976.18KB 1050.02KB 
[2023-10-11 21:47:43 (EET)] 1 index 0.10242295265198s 977.46KB 1051.29KB 
[2023-10-11 21:47:43 (EET)] 1 index 0.065146923065186s 976.18KB 1050.02KB 
[2023-10-11 21:49:19 (EET)] 1 index 0.058836936950684s 976.2KB 1050.03KB 
[2023-10-11 21:49:19 (EET)] 1 index 0.056964159011841s 976.2KB 1050.03KB 
[2023-10-11 21:49:19 (EET)] 1 index 0.061226844787598s 976.2KB 1050.03KB 
[2023-10-11 21:49:19 (EET)] 1 index 0.068325996398926s 976.2KB 1050.03KB 
[2023-10-11 21:49:19 (EET)] 1 index 0.061326026916504s 976.2KB 1050.03KB 
[2023-10-11 21:49:20 (EET)] 1 index 0.082365989685059s 977.47KB 1051.3KB 
[2023-10-11 21:49:20 (EET)] 1 index 0.065432071685791s 976.2KB 1050.03KB 
[2023-10-11 21:49:20 (EET)] 1 index 0.062416076660156s 976.2KB 1050.03KB 
[2023-10-11 21:49:49 (EET)] 1 index 0.16521787643433s 1057.03KB 1093.31KB 
[2023-10-11 21:49:49 (EET)] 1 index 0.10353899002075s 1057.03KB 1093.31KB 
[2023-10-11 21:49:49 (EET)] 1 index 0.097398996353149s 1057.03KB 1093.31KB 
[2023-10-11 21:49:50 (EET)] 1 index 0.098854064941406s 1057.03KB 1093.31KB 
[2023-10-11 21:49:50 (EET)] 1 index 0.075528144836426s 1057.03KB 1093.31KB 
[2023-10-11 21:49:50 (EET)] 1 index 0.11172103881836s 1057.03KB 1093.31KB 
[2023-10-11 21:49:50 (EET)] 1 index 0.16282892227173s 1057.03KB 1093.31KB 
[2023-10-11 21:49:51 (EET)] 1 index 0.22192096710205s 1057.03KB 1093.31KB 
[2023-10-11 21:50:15 (EET)] 1 index 0.095996141433716s 1057.03KB 1093.31KB 
[2023-10-11 21:50:16 (EET)] 1 index 0.091998815536499s 1057.03KB 1093.31KB 
[2023-10-11 21:50:16 (EET)] 1 index 0.17746710777283s 1058.3KB 1094.58KB 
[2023-10-11 21:50:16 (EET)] 1 index 0.12356901168823s 1057.03KB 1093.31KB 
[2023-10-11 21:50:16 (EET)] 1 index 0.10954308509827s 1057.03KB 1093.31KB 
[2023-10-11 21:50:16 (EET)] 1 index 0.11445498466492s 1057.03KB 1093.31KB 
[2023-10-11 21:50:24 (EET)] 1 index 0.1132709980011s 1057.03KB 1093.31KB 
[2023-10-11 21:52:52 (EET)] 1 index 0.093153953552246s 1057.03KB 1093.31KB 
[2023-10-11 21:52:52 (EET)] 1 index 0.10802698135376s 1057.03KB 1093.31KB 
[2023-10-11 21:52:57 (EET)] 1 index 0.10000801086426s 1057.03KB 1093.31KB 
[2023-10-11 21:57:42 (EET)] 1 index 0.10068392753601s 1053.9KB 1090.18KB 
[2023-10-11 21:57:49 (EET)] 1 index 0.11570596694946s 1053.9KB 1090.18KB 
[2023-10-11 21:58:16 (EET)] 1 index 0.066492080688477s 1052.85KB 1089.13KB 
